n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.35714285714285715,0.35714285714285715,10,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,28,10,4,path_mac,MAC,path,mac,7,3,0.9160318901727007,4.5130145736038685e-06,0.0029868429992347956,2.6175985112786293e-05,0.0030175319989211857
8,0.39285714285714285,0.39285714285714285,11,0.39285714285714285,0.39285714285714285,0.19047619047619047,0.19047619047619047,28,11,4,path_mac,MAC,path,mac,7,4,1.2679491924311233,4.411034751683474e-06,0.0030042119906283915,2.578698331490159e-05,0.0030344100086949766
8,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.23809523809523808,28,12,4,path_mac,MAC,path,mac,7,5,1.3344199306231965,4.424015060067177e-06,0.0029922390240244567,2.667802618816495e-05,0.003023341065272689
8,0.4642857142857143,0.4642857142857143,13,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.2857142857142857,28,13,4,path_mac,MAC,path,mac,7,6,1.5857864376269037,4.369998350739479e-06,0.00302343798102811,2.6750960387289524e-05,0.003054558939766139
8,0.5,0.5,14,0.5,0.5,0.3333333333333333,0.3333333333333333,28,14,4,path_mac,MAC,path,mac,7,7,1.4384471871911706,4.2879837565124035e-06,0.0030137079884298146,2.6196008548140526e-05,0.0030441919807344675
8,0.5357142857142857,0.5357142857142857,15,0.5357142857142857,0.5357142857142857,0.38095238095238093,0.38095238095238093,28,15,4,path_mac,MAC,path,mac,7,8,2.000000000000001,4.3959589675068855e-06,0.003022309043444693,2.6755966246128082e-05,0.003053460968658328
8,0.5714285714285714,0.5714285714285714,16,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,28,16,4,path_mac,MAC,path,mac,7,9,2.1300649496364987,4.3450272642076015e-06,0.003020658972673118,2.5784014724195004e-05,0.0030507880146615207
8,0.6071428571428571,0.6071428571428571,17,0.6071428571428571,0.6071428571428571,0.47619047619047616,0.47619047619047616,28,17,4,path_mac,MAC,path,mac,7,10,2.585786437626904,4.356959834694862e-06,0.00301068602129817,2.6446999981999397e-05,0.0030414899811148643
8,0.6428571428571429,0.6428571428571429,18,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,28,18,4,path_mac,MAC,path,mac,7,11,2.5857864376268997,4.310975782573223e-06,0.003032225009519607,2.7090020012110472e-05,0.0030636260053142905
8,0.6785714285714286,0.6785714285714286,19,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5714285714285714,28,19,4,path_mac,MAC,path,mac,7,12,3.5188056959079836,4.270987119525671e-06,0.0030239950283430517,2.6462017558515072e-05,0.0030547280330210924
8,0.7142857142857143,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6190476190476191,28,20,4,path_mac,MAC,path,mac,7,13,2.90213320977716,4.277040716260672e-06,0.0030297099729068577,2.596696140244603e-05,0.0030599539750255644
8,0.75,0.75,21,0.75,0.75,0.6666666666666666,0.6666666666666666,28,21,4,path_mac,MAC,path,mac,7,14,3.6570769172228266,4.2689498513937e-06,0.0030317470082081854,2.618500730022788e-05,0.003062200965359807
